ODVA
TBEU
GCHE
OMZZP
MOEX
BISVP
IGSTP
KZOSP
KTSBP
GTRK
RNFT
FMUS
RTGZ
ZILL
TUZA
AKGD
OBLG
LENT
VGSB
AKSC
RQIU
MSNG
MVID
MSTT
SCFT
SBRI
RUGR
PAZA
NNSBP
OPNB
LSNG
VGSBP
KRKN
PIKK
AKRN
STSBP
CBOM
BOND
YNDX
KCHE
ORUP
STSB
LKOH
SAREP
LVHK
FESH
SNGSP
TATNP
ESGR
IGST
TRNFP
RGSS
VJGZ
RUSI
NMTP
MRKZ
RCUS
PMSBP
LIFE
SBER
MAGE
TEMS
DVEC
SBMM
TGKN
TGKB
MRKY
NKNC
UWGN
TATN
GAZP
TGLD
SPBE
MRKK
AVAN
KMTZ
SAGOP
TMOS
INRU
TORS
KBSB
CNTLP
FLOT
MFGSP
NAUK
MDMG
TNSE
EELT
TGKA
SPBF
BLNG
INGR
GRNT
MGNT
SVAV
QIWI
NKSH
HIMCP
ROSN
TBUY
YRSBP
PLZL
TFNX
UKUZ
ESGE
ASSB
INGO
SELG
PRFN
GOLD
RTKMP
DSKY
TEUR
RCGL
RASP
HYDR
TEUS
KTSB
MBGB
GAZC
MTSS
MRKS
VRSBP
UCSS
MSRS
TTLK
LQDT
SNGS
SBERP
NNSB
DZRD
APTK
AQUA
YRSB
UNKL
OGKB
MKBD
GAZA
TGKBP
NKNCP
AKVG
TCSG
RTSBP
MBEQ
VEON-RX
CHKZ
ENPG
KCHEP
KAZT
KLSB
ROLO
SIBN
LNZL
CHGZ
TSPX
WUSH
MTEK
EQMX
AMRE
RQIE
DIOD
GEMA
RCMX
CHMF
AKMB
PHOR
YKEN
GAZS
TCBR
BSPBP
TSOX
KRSB
KZOS
OPNR
AFKS
BCSB
MRKU
CIAN
MFGS
GPBR
MGNZ
KUBE
TASB
LNZLP
KGKC
UTAR
SFTL
PRMB
TBRU
TSST
SBMX
AMRB
GPBS
SLEN
WTCM
KOGK
SFIN
ELTZ
NFAZ
CHMK
POSI
VTBR
NLMK
HMSG
MGTSP
MERF
GPBM
OZON
SBGD
VKCO
SAGO
ALRS
RZSB
KROTP
RTKM
LSRG
ETLN
AGRO
MRKP
TRAI
WTCMP
SBGB
ZVEZ
ARSA
MTLR
MTLRP
RTSB
BSPB
GEMC
AKMM
BANE
GAZAP
TORSP
ABRD
VLHZ
ISKJ
RKKE
VSYD
VJGZP
SGZH
URKZ
TRUR
IDVP
PMSB
BRZL
RCHY
KRKOP
TPAS
BANEP
RENI
JNOS
GROD
SUGB
TRMK
SBRB
RUAL
POLY
DZRDP
MAGEP
FEES
KGKCP
BELU
INFL
KUZB
FIXP
ROSB
HHRU
KROT
LSNGP
NSVZ
UNAC
SBCN
DIVD
KMAZ
KRKNP
LPSB
SPBC
SARE
YKENP
GLTR
SVET
GAZT
ROST
MRKV
IRAO
AFLT
TUSD
CNTL
VSMO
KMEZ
OKEY
IRKT
MAGN
VRSB
MISB
MISBP
GMKN
MRSB
MGTS
MRKC
USBN
TGRN
AMEZ
SBCS
NVTK
RDRB
TASBP
NKHP
